,TV,Radio,Newspaper,Sales,TV_sales,Radio_sales,Newspaper_sales
0,230.1,37.8,69.2,22.1,22.1,22.1,22.1
1,44.5,39.3,45.1,10.4,10.4,10.4,15.0
2,17.2,45.9,69.3,12.0,8.95,12.0,12.0
3,151.5,41.3,58.5,16.5,16.5,16.5,16.5
4,180.8,10.8,58.4,17.9,17.9,14.899999999999999,17.9
5,8.7,48.9,75.0,7.2,7.2,17.1,7.2
6,57.5,32.8,23.5,11.8,11.8,11.8,14.65
7,120.2,19.6,11.6,13.2,13.2,13.2,13.2
8,8.6,2.1,1.0,4.8,4.8,7.550000000000001,4.8
9,199.8,2.6,21.2,15.6,16.0,15.55,15.6
10,66.1,5.8,24.2,12.6,12.6,12.6,12.6
11,214.7,24.0,4.0,17.4,17.4,17.4,17.4
12,23.8,35.1,65.9,9.2,9.2,9.2,9.2
13,97.5,7.6,7.2,13.7,13.7,13.7,13.7
14,204.1,32.9,46.0,19.0,19.0,19.0,19.0
15,195.4,47.7,52.9,22.4,22.4,22.4,19.65
16,67.8,36.6,114.0,12.5,12.5,12.5,12.5
17,281.4,39.6,55.8,24.4,24.4,13.0,24.4
18,69.2,20.5,18.3,11.3,11.3,11.3,10.5
19,147.3,23.9,19.1,14.6,14.6,14.6,14.6
20,218.4,27.7,53.4,18.0,18.0,19.35,18.0
21,237.4,5.1,23.5,17.5,18.2,17.5,14.65
22,13.2,15.9,49.6,5.6,5.6,5.6,5.6
23,228.3,16.9,26.2,20.5,20.5,20.5,20.5
24,62.3,12.6,18.3,9.7,9.7,9.7,10.5
25,262.9,3.5,19.5,17.0,17.0,16.85,17.0
26,142.9,29.3,12.6,15.0,15.0,15.0,15.0
27,240.1,16.7,22.9,20.9,19.549999999999997,20.9,19.9
28,248.8,27.1,22.9,18.9,18.9,18.9,19.9
29,70.6,16.0,40.8,10.5,10.5,8.55,10.5
30,292.9,28.3,43.2,21.4,21.4,21.4,21.4
31,112.9,17.4,38.6,11.9,11.9,11.9,11.9
32,97.2,1.5,30.0,13.2,13.2,10.25,15.4
33,265.6,20.0,0.3,17.4,17.4,17.4,17.4
34,95.7,1.4,7.4,11.9,11.9,11.9,14.95
35,290.7,4.1,8.5,17.8,17.8,13.666666666666666,14.7
36,266.9,43.8,5.0,25.4,25.4,25.4,25.4
37,74.7,49.4,45.7,14.7,14.7,19.2,14.7
38,43.1,26.7,35.1,10.1,10.1,10.95,10.1
39,228.0,37.7,32.0,21.5,21.5,21.5,21.5
40,202.5,22.3,31.6,16.6,16.6,16.6,11.25
41,177.0,33.4,38.7,17.1,15.950000000000001,17.1,17.700000000000003
42,293.6,27.7,1.8,20.7,20.7,19.35,20.7
43,206.9,8.4,26.4,17.9,17.9,14.75,17.9
44,25.1,25.7,43.3,8.5,8.5,8.5,8.5
45,175.1,22.5,31.5,16.1,16.1,16.1,16.1
46,89.7,9.9,35.7,10.6,10.6,10.6,10.6
47,239.9,41.5,18.5,23.2,23.2,23.2,23.2
48,227.2,15.8,49.9,19.8,19.8,19.8,19.8
49,66.9,11.7,36.8,9.7,9.7,9.7,9.7
50,199.8,3.1,34.6,16.4,16.0,16.4,14.649999999999999
51,100.4,9.6,3.6,10.7,10.7,10.7,15.15
52,216.4,41.7,39.6,22.6,22.6,19.9,22.6
53,182.6,46.2,58.7,21.2,21.2,21.2,21.2
54,262.7,28.8,15.9,20.2,20.2,20.2,20.2
55,198.9,49.4,60.0,23.7,23.7,19.2,23.7
56,7.3,28.1,41.4,5.5,5.5,5.5,5.5
